Average Removal Rate: 1.75%
Average Total Lines: 14081.80
Total Lines Across All Files: 7843565
Average Characters per Line Across All Files: 26.55

File Statistics (Lines Removed, Total Lines, Avg Characters per Line):
paper_101.txt: 0.90% removed, 25575 total lines, 24.87 avg chars/line
paper_10.txt: 0.80% removed, 15212 total lines, 25.74 avg chars/line
paper_400.txt: 7.29% removed, 9176 total lines, 56.68 avg chars/line
paper_52.txt: 0.49% removed, 12741 total lines, 13.67 avg chars/line
paper_206.txt: 0.87% removed, 22137 total lines, 16.30 avg chars/line
paper_566.txt: 0.93% removed, 5786 total lines, 13.84 avg chars/line
paper_204.txt: 1.99% removed, 10336 total lines, 25.03 avg chars/line
paper_106.txt: 5.24% removed, 18066 total lines, 39.09 avg chars/line
paper_35.txt: 0.61% removed, 11473 total lines, 25.26 avg chars/line
paper_664.txt: 0.58% removed, 8554 total lines, 32.73 avg chars/line
paper_109.txt: 0.59% removed, 22400 total lines, 19.00 avg chars/line
paper_121.txt: 2.92% removed, 12159 total lines, 29.74 avg chars/line
paper_354.txt: 0.67% removed, 16013 total lines, 26.32 avg chars/line
paper_261.txt: 1.90% removed, 15501 total lines, 31.74 avg chars/line
paper_524.txt: 0.15% removed, 23906 total lines, 15.97 avg chars/line
paper_669.txt: 2.24% removed, 24782 total lines, 24.57 avg chars/line
paper_369.txt: 0.88% removed, 15959 total lines, 21.85 avg chars/line
paper_303.txt: 0.15% removed, 76199 total lines, 30.31 avg chars/line
paper_55.txt: 1.38% removed, 8117 total lines, 31.70 avg chars/line
paper_89.txt: 2.07% removed, 9429 total lines, 32.38 avg chars/line
paper_412.txt: 2.11% removed, 13428 total lines, 27.99 avg chars/line
paper_536.txt: 3.38% removed, 5292 total lines, 28.90 avg chars/line
paper_386.txt: 1.81% removed, 13578 total lines, 36.05 avg chars/line
paper_133.txt: 0.61% removed, 11473 total lines, 25.26 avg chars/line
paper_373.txt: 0.87% removed, 22137 total lines, 16.30 avg chars/line
paper_402.txt: 1.36% removed, 18148 total lines, 36.81 avg chars/line
paper_518.txt: 0.61% removed, 8247 total lines, 13.32 avg chars/line
paper_583.txt: 9.51% removed, 13812 total lines, 30.73 avg chars/line
paper_146.txt: 1.09% removed, 15754 total lines, 36.01 avg chars/line
paper_676.txt: 2.35% removed, 10504 total lines, 39.60 avg chars/line
paper_674.txt: 1.35% removed, 8285 total lines, 31.13 avg chars/line
paper_389.txt: 7.32% removed, 6940 total lines, 39.26 avg chars/line
paper_380.txt: 6.23% removed, 13121 total lines, 33.09 avg chars/line
paper_213.txt: 2.05% removed, 15154 total lines, 26.58 avg chars/line
paper_501.txt: 0.54% removed, 15032 total lines, 17.91 avg chars/line
paper_528.txt: 6.63% removed, 9866 total lines, 35.67 avg chars/line
paper_202.txt: 1.28% removed, 21403 total lines, 21.57 avg chars/line
paper_588.txt: 2.27% removed, 10060 total lines, 33.94 avg chars/line
paper_571.txt: 0.65% removed, 25200 total lines, 19.46 avg chars/line
paper_291.txt: 1.43% removed, 8733 total lines, 27.81 avg chars/line
paper_218.txt: 1.85% removed, 3081 total lines, 47.83 avg chars/line
paper_411.txt: 0.87% removed, 22137 total lines, 16.30 avg chars/line
paper_96.txt: 0.92% removed, 35680 total lines, 24.92 avg chars/line
paper_53.txt: 2.11% removed, 10850 total lines, 19.07 avg chars/line
paper_222.txt: 2.03% removed, 6552 total lines, 31.50 avg chars/line
paper_450.txt: 1.98% removed, 12707 total lines, 29.34 avg chars/line
paper_711.txt: 6.17% removed, 4880 total lines, 38.01 avg chars/line
paper_542.txt: 3.88% removed, 11891 total lines, 35.77 avg chars/line
paper_406.txt: 0.52% removed, 21352 total lines, 19.73 avg chars/line
paper_268.txt: 0.00% removed, 221 total lines, 7.44 avg chars/line
paper_60.txt: 0.55% removed, 9078 total lines, 35.87 avg chars/line
paper_703.txt: 0.55% removed, 9240 total lines, 20.81 avg chars/line
paper_48.txt: 0.68% removed, 26126 total lines, 23.42 avg chars/line
paper_305.txt: 0.80% removed, 15212 total lines, 25.74 avg chars/line
paper_379.txt: 1.28% removed, 21403 total lines, 21.57 avg chars/line
paper_737.txt: 8.46% removed, 10329 total lines, 40.30 avg chars/line
paper_196.txt: 0.87% removed, 22137 total lines, 16.30 avg chars/line
paper_523.txt: 3.31% removed, 8191 total lines, 27.77 avg chars/line
paper_119.txt: 3.63% removed, 14656 total lines, 31.31 avg chars/line
paper_272.txt: 0.90% removed, 7898 total lines, 32.08 avg chars/line
paper_447.txt: 0.00% removed, 187 total lines, 6.58 avg chars/line
paper_107.txt: 0.00% removed, 221 total lines, 7.44 avg chars/line
paper_128.txt: 1.17% removed, 7406 total lines, 26.16 avg chars/line
paper_56.txt: 2.92% removed, 12159 total lines, 29.74 avg chars/line
paper_625.txt: 0.59% removed, 22400 total lines, 19.00 avg chars/line
paper_209.txt: 0.41% removed, 12173 total lines, 35.89 avg chars/line
paper_321.txt: 9.51% removed, 13812 total lines, 30.73 avg chars/line
paper_172.txt: 0.00% removed, 177 total lines, 5.93 avg chars/line
paper_151.txt: 4.97% removed, 10792 total lines, 30.31 avg chars/line
paper_359.txt: 7.72% removed, 15873 total lines, 38.37 avg chars/line
paper_212.txt: 0.11% removed, 50262 total lines, 14.82 avg chars/line
paper_334.txt: 0.15% removed, 23906 total lines, 15.97 avg chars/line
paper_314.txt: 1.65% removed, 15014 total lines, 22.68 avg chars/line
paper_727.txt: 0.00% removed, 15905 total lines, 28.26 avg chars/line
paper_311.txt: 9.65% removed, 16485 total lines, 35.37 avg chars/line
paper_527.txt: 0.93% removed, 25357 total lines, 19.30 avg chars/line
paper_295.txt: 2.16% removed, 13842 total lines, 39.47 avg chars/line
paper_515.txt: 4.77% removed, 9603 total lines, 36.47 avg chars/line
paper_244.txt: 0.78% removed, 6802 total lines, 26.58 avg chars/line
paper_100.txt: 0.29% removed, 37358 total lines, 8.41 avg chars/line
paper_394.txt: 1.80% removed, 17419 total lines, 33.78 avg chars/line
paper_8.txt: 0.00% removed, 223 total lines, 6.68 avg chars/line
paper_614.txt: 9.27% removed, 1014 total lines, 9.21 avg chars/line
paper_558.txt: 0.00% removed, 229 total lines, 6.29 avg chars/line
paper_263.txt: 0.00% removed, 187 total lines, 6.58 avg chars/line
